C1	5.16	28.19	0.00	0.1uF	0603
C2	9.14	44.96	0.00	0.1uF	0603
C3	11.18	18.03	0.00	0.1uF	0603
LED	46.23	16.13	0.00		CHIPLED_0603
LED1	7.70	35.21	90.00		CHIPLED_0603
LED2	7.70	38.03	90.00		CHIPLED_0603
R1	17.40	20.57	0.00	1.47k	R0603
R12	22.48	27.58	0.00	100	R0603
R13	22.48	30.17	0.00	100	R0603
R14	22.48	32.77	0.00	100	R0603
R16	9.27	63.25	90.00	10k	R0603
R17	38.35	57.15	0.00	10k	R0603
R2	5.16	44.96	180.00	1k	R0603
R3	22.48	24.99	0.00	100	R0603
R4	3.81	18.54	0.00	100	R0603
R5	3.81	14.92	180.00	100	R0603
R6	3.81	11.30	0.00	100	R0603
R7	5.16	41.40	180.00	1k	R0603
R8	5.16	31.84	180.00	1k	R0603
R9	38.35	41.02	0.00	10k	R0603
